Distance,Bin,Corpus
107.74555257622585,1,Change
104.8173992486767,2,Change
104.79285730253343,3,Change
103.62088735335368,4,Change
103.57056196333913,5,Change
104.0634929296764,6,Change
102.5570256339166,7,Change
104.58895414192598,8,Change
101.76533489242198,9,Change
102.53811532620664,10,Change
99.59219426039735,11,Change
99.72068576246693,1,Control
100.03707122980285,2,Control
100.94723540683988,3,Control
99.73157814027323,4,Control
101.14850208760132,5,Control
101.18041814246665,6,Control
100.07671184086125,7,Control
100.12425109298012,8,Control
99.91541026060038,9,Control
100.68204914472607,10,Control
100.38569437164907,11,Control
