Distance,Bin,Corpus
103.26390956718625,1,Change
102.5534656451831,2,Change
101.31704961822689,3,Change
104.82811827174706,4,Change
104.32630148830201,5,Change
104.65532450592856,6,Change
103.5292913010424,7,Change
104.94485832152986,8,Change
103.49151621697982,9,Change
105.17803830591691,10,Change
103.49624317192938,11,Change
101.47781705627406,1,Control
101.76943973900082,2,Control
101.51061694836406,3,Control
101.94264104237581,4,Control
101.50304667814537,5,Control
101.66183881353584,6,Control
102.0134373109995,7,Control
101.57188541464815,8,Control
101.84860496968732,9,Control
101.99258037003632,10,Control
103.12954209949741,11,Control
