Distance,Bin,Corpus
111.89308752290287,1,Change
112.48320194307915,2,Change
108.06659134482106,3,Change
106.08405660259473,4,Change
105.79218992204008,5,Change
105.20834113117203,6,Change
106.54387777283235,7,Change
108.49628531629524,8,Change
105.37915557146759,9,Change
107.73662771808199,10,Change
106.85180789181481,11,Change
101.23759650420371,1,Control
101.61819435825676,2,Control
100.90227638714309,3,Control
100.70611942987858,4,Control
101.1138249763445,5,Control
101.35156318333144,6,Control
102.17832178109818,7,Control
100.80841290889519,8,Control
101.39642995920502,9,Control
101.65545122993338,10,Control
101.4355587706677,11,Control
